Aurore;Safir
NOR0062;14105
NOR0063;14113
NOR0080;76022
NOR0085;76052
NOR0087;76060
NOR0088;76075
NOR0089;76083
NOR0090;76091
NOR0092;76101
NOR0093;76116
NOR0094;76132
NOR0095;76204
NOR0096;76220
NOR0100;76235
NOR0101;76243
NOR0103;76251
NOR0104;76013
NOR0106;76021
NOR0108;76036
NOR0109;76044
NOR0121;27004
NOR0122;27010
NOR0124;27025
NOR0125;27033
NOR0126;27041
NOR0127;27056
NOR0128;27064
NOR0474;27023
NOR0543;76112
SPM0001;97003
OCC0022;81743
OCC0023;81711
OCC0024;81734
OCC0025;81742
OCC0026;81750
OCC0027;81765
OCC0028;12212
OCC0029;12220
OCC0030;12235
OCC0031;12251
OCC0043;82001
OCC0044;46001
OCC0045;82816
OCC0046;82824
OCC0047;46511
OCC0048;46534
OCC0063;65003
OCC0065;32002
OCC0066;65010
OCC0067;65622
OCC0068;65630
OCC0069;32413
OCC0070;32421
OCC0075;31037
OCC0079;31026
OCC0084;31031
OCC0093;31015
OCC0094;31011
OCC0095;31008
OCC0096;31005
OCC0097;31001
OCC0099;31002
OCC0102;31496
OCC0103;31522
OCC0104;31346
OCC0105;31354
OCC0106;31370
OCC0107;31385
OCC0108;31426
OCC0120;31315
OCC0121;09123
OCC0122;09131
OCC0123;09146
OCC0124;09115
OCC0128;66010
OCC0132;66001
OCC0133;66712
OCC0134;66720
OCC0135;66751
OCC0140;66704
OCC0145;30028
OCC0148;30025
OCC0151;30022
OCC0153;30703
OCC0154;48642
OCC0156;30543
OCC0158;30566
OCC0162;30590
OCC0163;30623
OCC0164;30631
OCC0165;30670
OCC0174;34055
OCC0178;34049
OCC0180;34011
OCC0181;34012
OCC0184;34663
OCC0185;34671
OCC0186;34712
OCC0191;34601
OCC0195;34616
OCC0198;34624
OCC0199;34640
OCC0208;11504
OCC0211;11512
OCC0212;11520
OCC0214;11013
OCC0216;11535
PAC0008;13090
PAC0020;13050
PAC0039;13017
PAC0040;13013
PAC0042;13001
PAC0044;13245
PAC0047;13483
PAC0049;13501
PAC0050;13150
PAC0052;13165
PAC0053;13173
PAC0054;13181
PAC0055;13196
PAC0056;13206
PAC0058;13214
PAC0060;13341
PAC0061;13356
PAC0062;13364
PAC0063;13421
PAC0064;13436
PAC0065;13444
PAC0066;13452
PAC0067;13460
PAC0068;13475
PAC0080;83027
PAC0081;83028
PAC0086;83002
PAC0087;83000
PAC0088;83001
PAC0089;83405
PAC0091;83413
PAC0092;83421
PAC0093;83436
PAC0094;83444
PAC0096;83452
PAC0098;83460
PAC0099;83475
PAC0112;84004
PAC0113;84494
PAC0114;84526
PAC0115;84493
PAC0116;84503
PAC0117;84511
PAC0121;84470
PAC0122;84485
PAC0130;04254
PAC0132;04262
PAC0135;05280
PAC0141;05295
PAC0152;06045
PAC0165;06001
PAC0168;06346
PAC0169;06354
PAC0170;06362
PAC0171;06370
PAC0172;06021
PAC0173;06036
PAC0174;06204
PAC0175;06212
PAC0177;06220
PDL0015;85019
PDL0016;85010
PDL0017;85007
